epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30914,0.84847,3.45411,1.13385,0.00551,0.5,0.43999,0.39396,0.39393,2.9423,0.84292,8.574e-05,8.574e-05,8.574e-05
2,1.85423,0.70079,3.09337,1.05522,0.00558,0.5,0.4865,0.45152,0.38492,2.87169,0.83544,0.000182092,0.000182092,0.000182092
3,2.40622,0.71236,2.28711,0.99552,1,0.39942,0.4975,0.44255,0.56801,2.0541,0.89799,0.000274482,0.000274482,0.000274482
4,2.94553,0.76093,1.59942,1.00349,0.99501,0.5,0.4975,0.43991,0.64638,1.18917,0.9419,0.000362912,0.000362912,0.000362912
5,3.47537,0.75111,1.499,1.01443,1,0.49175,0.4975,0.44486,0.53678,1.48624,0.82896,0.00044738,0.00044738,0.00044738
6,4.00059,0.71587,1.38291,0.9809,0.99306,0.5,0.4975,0.44486,0.53287,1.4136,0.82702,0.000527887,0.000527887,0.000527887
7,4.50425,0.7525,1.29567,0.98246,0.99474,0.5,0.4975,0.443,0.57285,1.05937,0.83617,0.000604433,0.000604433,0.000604433
8,5.03108,0.75849,1.1985,0.92906,0.99763,0.5,0.4975,0.44054,0.53104,0.79087,0.83505,0.000677017,0.000677017,0.000677017
9,5.54913,0.74472,1.20166,1.00038,0.99888,0.5,0.4975,0.42981,0.52583,0.89064,0.83494,0.000745641,0.000745641,0.000745641
10,6.11369,0.75114,1.15985,0.9595,0.99817,0.5,0.4975,0.42586,0.51284,1.02034,0.83021,0.000810303,0.000810303,0.000810303
11,6.64636,0.74939,1.08971,0.97465,1,0.49808,0.4975,0.44339,0.58275,0.91118,0.84126,0.000871004,0.000871004,0.000871004
12,7.19122,0.78286,1.07437,0.99132,0.9995,0.5,0.49805,0.44271,0.58577,0.93678,0.85483,0.000927744,0.000927744,0.000927744
13,7.72105,0.76138,1.11131,0.98833,0.99494,0.5,0.4975,0.43558,0.56409,0.95351,0.85401,0.000980523,0.000980523,0.000980523
14,8.26823,0.67268,1.1415,0.94964,0.99494,0.5,0.4975,0.43558,0.56409,0.95351,0.85401,0.00102934,0.00102934,0.00102934
15,8.81319,0.68984,1.05899,0.93865,0.99547,0.5,0.4975,0.44862,0.56011,1.03926,0.83821,0.00103288,0.00103288,0.00103288
16,9.38031,0.699,1.00699,0.93758,0.99724,0.5,0.4975,0.44678,0.5812,0.91701,0.83747,0.00100459,0.00100459,0.00100459
17,9.94989,0.68899,1.01153,0.94797,0.99661,0.5,0.4975,0.44703,0.54789,0.75358,0.84459,0.000976293,0.000976293,0.000976293
18,10.4789,0.71098,0.94091,0.9634,0.99627,0.5,0.4975,0.43616,0.5933,0.81573,0.86593,0.000947999,0.000947999,0.000947999
19,11.0141,0.7101,0.94853,0.93721,0.99622,0.5,0.4975,0.43419,0.58117,0.78212,0.87265,0.000919704,0.000919704,0.000919704
20,11.5531,0.70434,0.88229,0.94612,0.99649,0.5,0.4975,0.44498,0.55411,0.76102,0.8527,0.00089141,0.00089141,0.00089141
21,12.0853,0.68039,0.97689,0.97491,0.99696,0.5,0.4975,0.46037,0.50889,0.74786,0.83322,0.000863116,0.000863116,0.000863116
22,12.6092,0.70593,0.94205,0.96273,0.99696,0.5,0.4975,0.46037,0.50889,0.74786,0.83322,0.000834822,0.000834822,0.000834822
23,13.1394,0.69408,0.89169,0.96277,0.9959,0.5,0.4975,0.45342,0.50487,0.73406,0.85049,0.000806528,0.000806528,0.000806528
24,13.6737,0.67548,0.85634,0.93373,0.99379,0.5,0.995,0.49719,0.5259,0.73816,0.8658,0.000778233,0.000778233,0.000778233
25,14.2002,0.67689,0.88176,0.92561,0.99698,0.5,0.995,0.50149,0.54094,0.6607,0.86247,0.000749939,0.000749939,0.000749939
26,14.7379,0.65472,0.86536,0.97155,0.89726,0.5,0.995,0.56421,0.50919,0.66943,0.83476,0.000721645,0.000721645,0.000721645
27,15.2721,0.63652,0.8308,0.90147,0.9452,1,0.995,0.54233,0.51795,0.6739,0.829,0.000693351,0.000693351,0.000693351
28,15.809,0.61773,0.88857,0.94397,0.82561,1,0.995,0.51156,0.48365,0.61549,0.81904,0.000665057,0.000665057,0.000665057
29,16.3502,0.58603,0.78975,0.91883,0.99708,0.5,0.55969,0.46256,0.47985,0.62694,0.82653,0.000636762,0.000636762,0.000636762
30,16.8753,0.60392,0.81138,0.91748,0.99708,0.5,0.55969,0.46256,0.47985,0.62694,0.82653,0.000608468,0.000608468,0.000608468
31,17.4266,0.6374,0.78691,0.91874,0.99641,0.5,0.54725,0.45753,0.46331,0.64634,0.82694,0.000580174,0.000580174,0.000580174
32,17.9612,0.63428,0.79942,0.92344,0.99632,0.5,0.55278,0.47668,0.48329,0.62224,0.82641,0.00055188,0.00055188,0.00055188
33,18.5061,0.58926,0.77517,0.91073,0.87255,1,0.995,0.51999,0.46101,0.61719,0.81992,0.000523586,0.000523586,0.000523586
34,19.0288,0.53665,0.77429,0.89467,0.85436,1,0.995,0.56609,0.45805,0.61352,0.82325,0.000495291,0.000495291,0.000495291
