epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,19.5702,0.66084,0.7821,0.95828,0.83135,1,0.995,0.57226,0.4593,0.61903,0.82953,0.000466997,0.000466997,0.000466997
36,20.1217,0.61759,0.79969,0.92629,0.82898,1,0.995,0.56676,0.47046,0.62251,0.83882,0.000438703,0.000438703,0.000438703
37,20.6702,0.59157,0.77064,0.90053,0.79853,1,0.995,0.55695,0.43331,0.67337,0.83,0.000410409,0.000410409,0.000410409
38,21.2482,0.57204,0.73302,0.90054,0.79853,1,0.995,0.55695,0.43331,0.67337,0.83,0.000382115,0.000382115,0.000382115
39,21.7692,0.55286,0.74096,0.8902,0.81408,1,0.995,0.5625,0.44608,0.66021,0.83535,0.00035382,0.00035382,0.00035382
40,22.3122,0.54448,0.70074,0.86529,0.82621,1,0.995,0.50947,0.46132,0.62288,0.82908,0.000325526,0.000325526,0.000325526
41,36.3072,0.4943,0.90028,0.84136,0.96906,0.5,0.4975,0.45798,0.43581,0.64829,0.81579,0.000297232,0.000297232,0.000297232
42,36.8272,0.54052,0.88846,0.91529,0.86236,1,0.995,0.52944,0.44584,0.62705,0.81654,0.000268938,0.000268938,0.000268938
43,37.3668,0.51071,0.86135,0.83885,0.894,1,0.995,0.51872,0.44709,0.60887,0.81724,0.000240644,0.000240644,0.000240644
44,37.8885,0.50712,0.86221,0.86722,0.87901,1,0.995,0.51872,0.43784,0.61454,0.81647,0.000212349,0.000212349,0.000212349
45,38.4437,0.46717,0.88544,0.85232,0.88037,1,0.995,0.57507,0.42154,0.62319,0.81248,0.000184055,0.000184055,0.000184055
46,38.956,0.47028,0.86244,0.83972,0.88037,1,0.995,0.57507,0.42154,0.62319,0.81248,0.000155761,0.000155761,0.000155761
47,39.4772,0.43206,0.87822,0.84831,0.88759,1,0.995,0.62952,0.39948,0.61214,0.80963,0.000127467,0.000127467,0.000127467
48,40.0067,0.45852,0.84705,0.85255,0.86327,1,0.995,0.67868,0.3872,0.57786,0.80781,9.91726e-05,9.91726e-05,9.91726e-05
49,40.5334,0.46339,0.84344,0.84625,0.87336,1,0.995,0.67868,0.38922,0.5654,0.80872,7.08784e-05,7.08784e-05,7.08784e-05
50,41.0539,0.45631,0.84318,0.83914,0.88003,1,0.995,0.67868,0.38984,0.56199,0.80942,4.25842e-05,4.25842e-05,4.25842e-05
